###############################################################################
# do.txt
# This file was auto-generated by aeadtvgen v1.0.2
###############################################################################
# Parameter:
#
# add_partial            - False
# block_size             - 1344
# block_size_ad          - 1344
# ciph_exp               - False
# io (W,SW)              - (32, 32)
# key_size               - 128
# len_format (AD, DATA)  - (32, 32)
# lib_name               - lakekeyakv2
# max_ad                 - 24
# max_block_per_sgmt     - 9999
# max_d                  - 1000
# max_io_per_line        - 8
# min_ad                 - 0
# min_d                  - 0
# msg_format             - ['npub', 'ad', 'data', 'tag']
# npub_size              - 128
# nsec_size              - 0
# reverse_ciph           - False
# tag_size               - 128
###############################################################################

#### Authenticated Decryption
#### MsgID=  1, KeyID=  1 Ad Size =   23, Ct Size =  453
# Instruction: Opcode=Authenticated Decryption
# INS:30410000
# Info :                Plaintext, EOT=1, Last=1, Length=453 bytes
HDR = 430001C5
DAT = 21BE891A660E15ECB5CC4FE9F3F0870B0FF3A99A4A9E2DC9A740A77661457BE8
DAT = 170C7281234E6773AC00478C9275F832FBBAE5D2DBA4256A71CD10D53A0BB694
DAT = 51B98130727A7ADD3CE4DB67BAAAD3960D8E8AC1F4F49F5FADEB7444B09425DC
DAT = 1A1496FBD173856CE7AF72C79EB03AA0627E3E19B25CA7462FF031DEE4A5CA11
DAT = 12328DA85FF23D554BC4EE7763B80ADB6101E4146F62842B1C65840B08FDA2AF
DAT = 552CB4EB08D3F900A1AAA8579F25D1D021A24FE2C28B8B8CADCDB06616078C92
DAT = D29CBFE22F3878E17899DFC9EA75F9BC1CF06473B6D8B263BA07DC7CA7E31918
DAT = 7684E56EFF4FF3A6993E57D6BF240A00A41CE6690CE4AB7042A36D96F9D8B1AD
DAT = 491A9E1DFFC0E537781B87EBB725BD7F69868C2E659015B99BA9F01D4C343E88
DAT = 543A8F771BD9516EC7B1A7D064A9360A54F43DA26C96E3768AE4B9224D88FB4E
DAT = A7BA4E204F66E751706427314B92DB16E16787565EAFC3C018D475FEBF738B5E
DAT = DCB870EBA54DF4266A76F72234CF1FA92963E3C8CFA688624BB3989403BB6710
DAT = 38FEE01060C75745EBD96C97C01AEDD9F6DE473A124B45ACE18ACC15E8AF1E41
DAT = D896B475628ACDE45D4EA41FD9652621A36F1DDB42E03F08068F204A8C048A96
DAT = 531FA05CB7000000
# Status: Success
STT = E0000000

#### Authenticated Decryption
#### MsgID=  2, KeyID=  2 Ad Size =   12, Ct Size =  269
# Instruction: Opcode=Authenticated Decryption
# INS:30820000
# Info :                Plaintext, EOT=1, Last=1, Length=269 bytes
HDR = 4300010D
DAT = 0675882817028F961C0CFAD9B0DBFF8FBD21C8BAAF92757EE9219EF035C7D74C
DAT = 5C85F58DC82CA3A299EA106E9A6F43EC2BE798EAE1D788373E8A81EE2B08025C
DAT = 7E1606D1D95FBC54F4EF1196CFAA0E646ABA9E7E2D2A6677CD3E379A91F7E515
DAT = 841AB5296D2D628D078E952860E09E4AE32F70BB19F67F9A79DB74E013D24EC5
DAT = E169FC1E5737ED7EB47878018CD552A1DC7E3F9CE214FC6E0A4013429FCED39B
DAT = 3DBB723C4EDE6D9008CFC38AF71D2084417C0049204C808A34CC4789A0390F77
DAT = 6688AEAF70889C73437C5BC87319587B8B0AFFE13B4E817EFDF7AF1BA19434D0
DAT = BDB1AC9330AD4590DF46DF5B9EFBDA37A4B41461D0FC4ECF51F19EBA2759D6FF
DAT = 27872E8C03A20171138E077868000000
# Status: Success
STT = E0000000

#### Authenticated Decryption
#### MsgID=  3, KeyID=  3 Ad Size =   23, Ct Size =  722
# Instruction: Opcode=Authenticated Decryption
# INS:30C30000
# Info :                Plaintext, EOT=1, Last=1, Length=722 bytes
HDR = 430002D2
DAT = D500F62791F43B6DACE01D0430FB9586439D8A4FFBD9DB0A49B7767DCEDBF932
DAT = 8784A62F20A94C39A635D0982A2A37B5446100874CE5F505DB76A90FFA79BFC7
DAT = 929F4A8592F5C4D921C063F348AC13B83DD73AE28F1BB6E70760E5AF4EB13BA1
DAT = D65D6A88C045A2413F9DC49ED3F74F6F33E9348BF71F66BEDCF5618CAA90BEB9
DAT = 826F2B75AFFC5ED106700FDD8182DB4D8096E990AAEFB42519435D3BE061FE19
DAT = DE9E4ED3CB039A568C459B402215410E05AE2AB2BCB808150C61AA904E884012
DAT = F05EC3ADE38CBEA5F1D21055C0965050CFE91899CC35D98811F7FE430535F1E5
DAT = 388A553065BB815808A76E4830A492778634F69D352FF1FB3C29EDAF55C770F8
DAT = C1F5F95B7438D8008F7267FD3C600589235594614D206B6B228A4F56D72A2DB8
DAT = 9E8CF040C4638341221A0CF04B046AD938BACE3DE401A20AEED11158EE8B935A
DAT = D0DD175775079563CB8345957C1B73E864EE0342F17046A3E2E4ED64F4E4878C
DAT = 6B3E58B9CA008AD7420AFB9066326EE1F0714DCCB49383756922475CA813E829
DAT = 281302349E0CD2CD11DCBA292077C2507F38CB8080C6E2FB77C1979BC54629DF
DAT = 7BC63C9A2ED77F4B42F78728E07086FAF2A6D8DB0A8479696FE5E54183CE0FEF
DAT = FBC78C0B874D33D55CF90AA86D677C8DC0709EDB732FBDC9FC22151F23CC3A9C
DAT = 3E3638A72DE2E41580C99C0EF19F012746B36788BA645309FB49E1CE642C3B88
DAT = 59C19EEC73D3D59BF5844C889A7D7B7CE96A84E95F7E3BB756E456F7970FB3BA
DAT = E145D7E2AD7F401B9706685C6ECA59143773E42341F4A6C3CBA696C8ACA5662C
DAT = 43D100636E4C21E4D153C649FCFCEB3B4157DE16F2D84F6161617512F0700E39
DAT = B434F18C8F18C5B935FF59ECE4CA41A66F38C80C75031410AC7E8722C9C696BD
DAT = FF7462BC6BEC721EDF16C2093832A6F553FF4041400073D15BC4A443B9CB5C0A
DAT = 1AF7A60047D4C11848DC50A1EB739DA770CB663C43B9A9BBCB87190D83362CC6
DAT = 19D55BB05799E1E956B9358A2211A25A1A880000
# Status: Success
STT = E0000000

#### Authenticated Decryption
#### MsgID=  4, KeyID=  4 Ad Size =    2, Ct Size =  405
# Instruction: Opcode=Authenticated Decryption
# INS:31040000
# Info :                Plaintext, EOT=1, Last=1, Length=405 bytes
HDR = 43000195
DAT = 71FDF1ECB8042320A0AEB5B2D7DFCDE97C577F3643EECBB2DA7291ECC98576EF
DAT = D661DB3874649A79B2CDB37FDFB40020C86F2CDE79B3503F34BA2B2A7EB4CE80
DAT = 0C7BBD081A91C9C18160B937C6E8C77598EBA9CFC74D79AAE9503887B320726A
DAT = F6E392EEF94DD22BDBA5F54E516A90536A8E2A4EEABA1BACD5CB152A026A3F2D
DAT = 7C20782E7E2333FE70C163DD5D491E1F24BB09929D2423E4D35E267F112BB17F
DAT = 154FF568A552C69694A63A082DD5879870B6ECFCE5A4BCA18EBC6ED09347D2DB
DAT = FC741318C1BF8B33C3D163441201D67FD50FC8A49A53AE1AB297F89BA8393334
DAT = 1E6C5240359B59BC83696CB0FEF6AAD5C811BDA8D2A17CD18806ED447C10D61D
DAT = 266018F7605FD1F47A74AFEBE6F103947C0BDD1B96006A5C165B423ED157B408
DAT = 01D826CBBD8BAD47AB9B2265A7DF9AB82F032A1D747B2662F26BBB9A4BCDD13C
DAT = C4A0AC6D22D81381B4617A8D84BF03F3C1D1BA9B4840F48DFCCD55B033EE560D
DAT = C0EC6CC3FFBE06EA5553410F5525530556BE293FDFF0A1F4986F54831AB67E4B
DAT = A627068CB1382CB2AECD47EDBA5F28FF92F91D837A000000
# Status: Success
STT = E0000000

#### Authenticated Decryption
#### MsgID=  5, KeyID=  5 Ad Size =   15, Ct Size =  328
# Instruction: Opcode=Authenticated Decryption
# INS:31450000
# Info :                Plaintext, EOT=1, Last=1, Length=328 bytes
HDR = 43000148
DAT = 2C0A53AF409F22D6491877E0E7BFC19A4363FC9610A7A00DDEE8434C9D15EB7D
DAT = BDD7B0F617F0D45D9143994AE11EAD1037FA338000DBDB8279B07BE61EFAF33A
DAT = 2B56A049262833FF8AE6A01DC9CEE0FB3626EB6A6C565BAB33D48F4CB167528D
DAT = 70462C5DE4DCC78916DDFA676A64BB2968B75C93BA6D8060FB379DB9C6585D87
DAT = C77B29BE00755DC894925C31751625F2259D5AFDFBA5A9106C681C69FA883091
DAT = B739DEB5952A733456A741985D76639F0CD29C6F6F3129A999A8E4B9A533297A
DAT = 833DD92FF129E7705109DED5FFCEA3DDAF1157363585DB4F54EA1C51C28D23E9
DAT = 211485745E78B3655E0BAE9E5BE0385424C9F4C85FE7A1A1EF027DA77CA4CA2F
DAT = 43F2CE96DC372B9ADF994AFCA20CDC6004B63A6BDD5584BFC6C908867E7DB151
DAT = 7285A41FA8B6FFE2430BE63E1D2B32C6D176393EFEFEE1A744D1FD2309B75347
DAT = 54D1F184E674A967
# Status: Success
STT = E0000000

#### Authenticated Decryption
#### MsgID=  6, KeyID=  6 Ad Size =    7, Ct Size =  346
# Instruction: Opcode=Authenticated Decryption
# INS:31860000
# Info :                Plaintext, EOT=1, Last=1, Length=346 bytes
HDR = 4300015A
DAT = E4BD5878446C826D98DC1CEF694FA19EB7E65110E96E98AF8E749D95CAA0F7B3
DAT = 8E0E26E7AD96F054EF8BB693B963BCE65A08D9208DC69655C628F39BA2A3FC9A
DAT = 220CCC82F23163E9488ED0416E2186770836ED30A241B22BEF35AE916B9E94BD
DAT = BBE4ADF707BA6EB3B55570549D284CD7F41DD1777EAA037560F2D81255AFBFA1
DAT = E921A4350B7982AB235871E71DB2455A0BB048D321E19D0E50B4B4CE50050CA9
DAT = C077565F6FB5FB970E7EEE34252FBE1BD85F45AB42AFC7F359EFBB669E7C5A1A
DAT = A154A0C8BCB9FC76DE48C3756511BF19FE96B1FB9D9154D6220AB26E5394A4E7
DAT = C5F51E711CC4D877148CE2970257DA6BB87741BC31FB0AC3ED27DF12EEE0ED84
DAT = D3610721F4D12169F44726E56CFA5A9843775E77EBAEF3B140E141EA1F7EBFB0
DAT = 87B38B13576C1E55597768CE3D7AEE333934D34D716A3760024F3573FB12C36A
DAT = 8BDFC9CEB3AC55FA49075F485C7E9A6CD6CD5CF498600D1F8D2A0000
# Status: Success
STT = E0000000

#### Authenticated Decryption
#### MsgID=  7, KeyID=  6 Ad Size =   16, Ct Size =  743
# Instruction: Opcode=Authenticated Decryption
# INS:31870000
# Info :                Plaintext, EOT=1, Last=1, Length=743 bytes
HDR = 430002E7
DAT = 97C4DABDE237812290AF89E4A6F110ACFA5C4FC1AFA1D02CF314E297103789CE
DAT = AFAF1D1F689D731AE18C63661F1A9A010001523695BB94A7B3B1DD90D5B0F5B9
DAT = 010B8AF90E805A12FFEEB9DE267A0A4D033F9750E4E091E2969E53F5F3048BA0
DAT = 80D467FE3E7F3EE74022B0557DB31F560ED98F9AE97E78CDF2DB96E427E4F0D8
DAT = 59FD032F2DE0ADC750AA0D7DD5DA006E2704AE3B9FD0A993562D311197EE7484
DAT = 2B434DDD68B7502119CB6067721D686FB47A84DD0331A2502990CCBEDECA1072
DAT = 09D1A4CD74BA8F7D9491BA8FA202CF439201B0D8698A2478E7744AA438B4F4F7
DAT = 98A97E1E79F9006FA8E99AD4B3A81658816AC6ECFA4E4C80852F21246867F29E
DAT = FC988AF91CB45E1D780F38530C6D71967E5BBB0A6EF4A903208D8566418F4AEE
DAT = B859DA5530BCE54409CC855FF083C28BA781D1D65B5CD3C9EF641026E2CE420B
DAT = 26AD641F43D78ED6DC405E865E14F51196209EA646BAE205F565D5D27D8A8359
DAT = 6312A20B789EE91E9D3B20920B598B48829E57A5E4BE3AD25E07AE48FE0D0B74
DAT = 5DE0CC0DCBD84C40B71BE77EB3B33CBEF5E9C51069E38AF708CAC0C692818CC1
DAT = B51E787D6BE0B3383BF0463A703329847A9CD276B2F008BC8090E2059887E6F6
DAT = 3427675DCAD5BAFC4895325BD7E58E09C00B2D23D99612FD147CAC057DEB5B55
DAT = 44918CA727448D7952D4E377AD0B1D6B96211B65EB3F44F9CA50695E456D55B8
DAT = 457407986572BDF6CC4BC57B7C8025656588EB41487021389EB3812FD9EA68B5
DAT = F3EE99F18E12A36A7F8E880A05B07EE5D4AF772556CB0422C91E9DF14C373BB9
DAT = C3CCE2FC77BCB6AB4D5EF5D0C4BC4754EFA63F68A8D34459EA477A19C5A58B26
DAT = 88D2757CC04965530EDD611D0BB0D021F5A561CD59A0DD02F3D062985F3D0601
DAT = 6F1589EE4D9BFA33FA6731E6BFDC659AF604BAD4F39C5DC7E8B2B92A4A897A93
DAT = 31672B1D231806122920BC65A5014E935D3D677D5C58895B990101858EAA3827
DAT = B2D30258AF0FA099128ABD9D02E374C8600C64BCD134A4E9633D858FD9A09628
DAT = 8C44760ABFF98700
# Status: Success
STT = E0000000

#### Authenticated Decryption
#### MsgID=  8, KeyID=  6 Ad Size =    9, Ct Size =  682
# Instruction: Opcode=Authenticated Decryption
# INS:31880000
# Info :                Plaintext, EOT=1, Last=1, Length=682 bytes
HDR = 430002AA
DAT = 02AE0426FAA3AC64BA7D42F6D38FEF34C845699EBF9C9783636CE9A052C34B78
DAT = 15777C59C245AB6D03B1DDF838CAED4785085FDA0AE7392792FB24C937301A63
DAT = 0370B8AA88C5A52E0D00905BD4F82632AC51939D28AF5280FA41B67EF8A07F84
DAT = 54EE0A8F6C5EF7DB871DE018EB4CA296A57516254F094AC5F802BBB26BF9D6AF
DAT = 207E04E60CB5CC9F917333C6CE7DCBCD90BF939EDFF5A82A37DED3D744AEA20E
DAT = 58865D098A847C4D2AD4EE194688B12FE58DB751C9B4424F27B2DB493836DF60
DAT = AC0332D0775AF06CCB1816EE5FE8B904BAA2E626C2670503F9DE40CC75261DCE
DAT = 9CD9B34252EF94F43BD090B0D04E44E1BDAE2A897B902F292B1016CC11E3FF7E
DAT = 2487DC53FBEB9FAB12E54E296D10BFBB2FD9383C077B830BEE722DE2386B4E38
DAT = F353B319E09FF18DC2F19D777F59CEF5C2507FE17B77627BB59CCE6BC750F4A9
DAT = 35DC2527A7A26B503A6EA237F7953662C2137DC61952FD2FC6C0618357B7F3FC
DAT = BB24CE801067C01B2ECA25C1794BA92835A6272482903F7D5599B70E056F2AB5
DAT = 5BBD5E9028E5EDABB1D0E57FB4A6EB61AAF4C9750AC39DA348EC568B173DD4CC
DAT = FC54A98D6566F514884180FF8968197F4B0F67BEFA198103B125DC2E3FBBF345
DAT = BDC5643838BBBFEB2080431BF880080B6E6B4FE162829B27ED6192EFB628E00B
DAT = 05E671C0D80D5E7278DB177EF7E05D6C58BFD74D629B1FA8425A99410F5AA46C
DAT = D2E46D8ABB107A8177D04A4BF794A8CC1762FBED4612598CCC4109C285459716
DAT = 228F15F7B6F7E9CD5D2DA94F183A29331DA6C8D1136C87CEF9B91AE1D6B798A7
DAT = D186500CCDC1D98287FDDE3C84685F4D88B35B16654C989D9085448018E25E51
DAT = 6E45C3789F6750721BDF29633F522A5B487A86CAF209F62B6ACCBBD3A9825DE7
DAT = 678C8952AF3A053F23910879F849490F1FB5652C8530C025943651F392F168D7
DAT = CF027E9B0E7FC36229B90000
# Status: Success
STT = E0000000

#### Authenticated Decryption
#### MsgID=  9, KeyID=  7 Ad Size =    3, Ct Size =  819
# Instruction: Opcode=Authenticated Decryption
# INS:31C90000
# Info :                Plaintext, EOT=1, Last=1, Length=819 bytes
HDR = 43000333
DAT = E9E860EDB6BCB007E9C10B4DD44B30CF5448BA51DF76164A86813EBAE33AF059
DAT = 18CA1714E43FC339E3B3057F6320B910FEBBDEEEE6679576D058565B1A4BC408
DAT = 94C7B3B77070F9356AB10667B8858D26E7A12949AD195EDC2B9F54709AEF525E
DAT = 5C1979B036D414F686522A6464993A87FF58C0AC6C15B0DAF24E4E8679D2F0B2
DAT = 7341969FF840258DC12A658824F1C350F17B20BFF9E74C6E3AA54CD8136710A2
DAT = 8174AABAE75B7AEED14A7A11D358243C1D415014C14DD885C78E00780F8C8B66
DAT = 8050A4E23C13E1DC102EFBA43F8B24A15E18E6D5D891D051A8175F1DEB62EFFF
DAT = FFFD7254F2E7FA67AB159EDE7DA00B439790693AA5AB79A2C299D0D49112943E
DAT = F9395F7DAA7FF30ADEB297AF0DA76FFC1C2FEC716C0484FA13A6E772C480C38B
DAT = 2B822A419F7ACBF81EB040C8F5219D73567A96B864B399DC1B67F0CDE34653B7
DAT = 599DF81560EA5D995F116718763B6102F6147EA0661B5FEBE5D7CA0CDDC963B9
DAT = DD6EB9AF54D7B8289DBDA6592177EB95EEADC4EE4B50EDEF2BA5C5B7A5B28D25
