###############################################################################
# do.txt
# This file was auto-generated by aeadtvgen v1.0.2
###############################################################################
# Parameter:
#
# add_partial            - False
# block_size             - 544
# block_size_ad          - 544
# ciph_exp               - False
# io (W,SW)              - (32, 32)
# key_size               - 128
# len_format (AD, DATA)  - (32, 32)
# lib_name               - riverkeyakv2
# max_ad                 - 28
# max_block_per_sgmt     - 9999
# max_d                  - 1000
# max_io_per_line        - 8
# min_ad                 - 0
# min_d                  - 0
# msg_format             - ['npub', 'ad', 'data', 'tag']
# npub_size              - 128
# nsec_size              - 0
# reverse_ciph           - False
# tag_size               - 128
###############################################################################

#### Authenticated Decryption
#### MsgID=  1, KeyID=  1 Ad Size =    7, Ct Size =  636
# Instruction: Opcode=Authenticated Decryption
# INS:30410000
# Info :                Plaintext, EOT=1, Last=1, Length=636 bytes
HDR = 4300027C
DAT = 9C993398B1E801CD0CC31A0205D10D660B08DB2AC276B5116B27BAF2F1D2DF27
DAT = 218DD00D172ACB081A35A946059F371E70ADF32622EBA899763E980FA6C1BFD8
DAT = 1D59A0A45A5070D26F08FB0617EE677F350421DF390E6C881D623D04E1F25830
DAT = 87B8945AEFA85FC12EC391FF3D3A61BE6A178770B75BD915937BEB6389F2F6B5
DAT = A1DE5BE3BA6252F6C21AB1359E79D047D7A98212610CC62296F4A98420EAFB99
DAT = E270E25EF81C850AF2A1F7B9CB54297E938715D813D625B7F8ABB9FFC8277E84
DAT = B8B4BCDC6EDDFAC5CCC23ACBAC9D9E4D1D260A85CA1AB38B154E945240A4B8A0
DAT = EEA38C16DC434C5CF2406CCA1933FEFE2E1360D872FF90158F392CEC01ED8499
DAT = 9E2050AB092CFB24AB0F404D38D22DED003858E97996A1F4442AD6EDFDB10427
DAT = 6C04372FDA658426D428791AD30B6BCD0AA65004EC671FD9B7654FA838F58466
DAT = B1FD3E109EA2FBBDE41826D946B86AA2E6DB8B57CA064500E0EE8C47BA2F75E5
DAT = FA72F6E77067AB158BA2EF0C1639E57759572F6FC72701004A12B47084B1660E
DAT = 530B3D2967ABEA41E462C679A7585E0918FF35591DF5AF03F86600BAA2CA75B6
DAT = 9C9016AD72AE6DCDFE8EFC5262426F5709847E54E94D35B3F9EDA3183CD901D9
DAT = B822FAF6EB03FDB847A14D653BFF55D5E6AFA8A5990757295E72D420E59D4F27
DAT = A4A3D419C6B92FF2E72CC91C9A7A11F327FA982A0D88343B705571FCB61B9634
DAT = C09ED70D096B1FE7FD90FA48B271925642F4DA0DA907A8E5A5B9C9CB046D6638
DAT = C1EBF32543C95862D05F74EC116D5724D7E9A3EA66CB2D47220C12AF4D0FF73A
DAT = 64CF29CAE7C61BEACB627AA23439CD40DECD672934CAAC56750A529106CADDE2
